album_uri,album_name,album_img,album_release_date,album_release_year,base_album_name,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,blåjeans,1bPFzf8p1HOJLkkW0Fd9IR,0.57,0.605,G#,-8.162,major,0.0247,5.57e-4,0.00175,0.0913,0.419,101.994,177640,4,G# major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,som vatten,18QALMgnVc4z95Gq6uxzWI,0.592,0.816,E,-5.462,major,0.032,7.8e-4,1.34e-5,0.136,0.637,110.554,173067,4,E major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,ingenting någonsin,7Dqtds5WerEsVcaNhF2Ie4,0.272,0.892,E,-6.427,major,0.0445,1.35e-5,0.52,0.0991,0.265,108.031,237133,4,E major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,när det blåser på månen,6leLEoYa9WIrJ0KWhlG8JK,0.236,0.598,A,-7.496,minor,0.0409,0.00107,0.00107,0.48,0.148,161.089,259560,3,A minor,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,jag vill inte vara rädd,3DKJz5p5X3pQ0uFwpSuuEE,0.528,0.776,A,-6.366,minor,0.0289,0.002,0,0.0786,0.553,108.898,210267,4,A minor,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,vad två öron klarar,2nKus62qyDsTteJ67XMxtE,0.395,0.316,A,-10.805,major,0.0286,0.031,0,0.135,0.135,136.337,222533,3,A major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,den osynliga mannen,5lkj6jemEIJ2Nknkx0dXlr,0.522,0.139,D,-14.699,major,0.0285,0.803,9.12e-6,0.115,0.094,75.429,161000,4,D major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,pojken med hålet i handen,1nELMC2z7ynd4K9iLmxCkD,0.439,0.764,D,-8.549,major,0.0473,0.004,2.31e-5,0.044,0.796,149.428,128600,4,D major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,ingen kommer att tro dig,6ztSwHNu2tiHSABKjjRrMk,0.433,0.758,D,-7.191,major,0.0392,5.76e-4,8.78e-5,0.148,0.383,118.234,211067,4,D major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,stenbrott,5PVJ0GK1GcKx3oQoGixa0j,0.405,0.555,A,-10.294,major,0.0255,0.00129,1.01e-4,0.0595,0.421,93.17,258733,4,A major,0
77wZ8PNgQdXEVExA2bqkTo,Kent,https://i.scdn.co/image/59fe7c13fb82c51ce6f0363e7d7a5d3c194174f8,1995-03-15,1995-03-15,kent,2,frank,2DZJg3yhU33324UkovKXwB,0.289,0.459,A,-8.213,major,0.0368,0.00344,0.00135,0.11,0.163,178.162,288067,3,A major,0
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,avtryck,3sBcjhHCFVMVe41dZNg2Oe,0.35,0.666,F,-9.377,major,0.0264,1.93e-4,0.441,0.314,0.458,104.441,190600,4,F major,30
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,kräm så nära får ingen gå),6mwzXxkU8SLbIcOCqCVuOg,0.334,0.716,F,-8.792,major,0.0416,3.74e-5,0.0129,0.347,0.402,124.675,161667,4,F major,41
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,gravitation,7MYC1Le5vcjyw0yBAQGVyB,0.348,0.47,E,-8.952,major,0.0291,0.0987,4.61e-6,0.486,0.0805,131.21,222533,3,E major,37
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,istället för ljud,4Ei0rumYzpUEUqCI28DpiH,0.477,0.399,G,-10.305,major,0.0289,0.017,0.108,0.122,0.147,147.23,262373,4,G major,29
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,10 minuter för mig själv),1PccnJbTkb4IPHZAWAq9VE,0.34,0.827,E,-6.887,minor,0.029,4.83e-4,1.76e-4,0.107,0.546,142.114,192467,4,E minor,30
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,en timme en minut,4xyF6Y3GPnbstZHBaUpBA7,0.303,0.714,A,-8.102,major,0.0283,0.00407,0.115,0.0986,0.316,109.668,491627,4,A major,35
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,indianer,46K3WgM7H4Vad1HsIEk5v8,0.621,0.332,F#,-13.084,major,0.0294,0.232,0.0225,0.154,0.243,141.747,227400,4,F# major,28
07hoph1012FbhlIwkUYqTy,Verkligen,https://i.scdn.co/image/f2cd0a83425f233fe96716a7eace307eea0212ab,1996-03-15,1996-03-15,verkligen,45,halka,4awqvWBZjTbuOBbF7RnkOQ,0.349,0.872,B,-6.066,major,0.045,0.00542,0,0.163,0.47,131.462,183067,4,B major,31
